android.animation.AnimatorSet,long getCurrentPlayTime(), Returns the milliseconds elapsed since the start of the animation.
android.media.AudioTrack,int getUnderrunCount(), Returns the number of underrun occurrences in the application-level write buffer since the AudioTrack was created.
android.media.MediaMetadataEditor,abstract void apply(), Applies all of the metadata changes that have been set since the MediaMetadataEditor instance was created or since clear() was called.
android.media.MediaMetadataEditor,void clear(), Clears all the pending metadata changes set since the MediaMetadataEditor instance was created or since this method was last called.
android.media.MediaRecorder,int getMaxAmplitude(), Returns the maximum absolute amplitude that was sampled since the last call to this method.
android.media.RemoteControlClient.MetadataEditor,void apply()," Associates all the metadata that has been set since the MetadataEditor instance was created with editMetadata(boolean), or since clear() was called, with the RemoteControlClient."
android.media.RemoteControlClient.MetadataEditor,void clear(), Clears all the metadata that has been set since the MetadataEditor instance was created (with editMetadata(boolean)).
android.media.RemoteController.MetadataEditor,void apply(), Applies all of the metadata changes that have been set since the MediaMetadataEditor instance was created with editMetadata() or since clear() was called.
android.media.tv.TvInputService.Session,long onTimeShiftGetCurrentPosition()," Returns the current position for time shifting, in milliseconds since the epoch."
android.media.tv.TvInputService.Session,long onTimeShiftGetStartPosition()," Returns the start position for time shifting, in milliseconds since the epoch."
android.media.tv.TvView.TvInputCallback,void onContentAllowed(String inputId), This is called when the current program content turns out to be allowed to watch since its content rating is not blocked by parental controls.
android.media.tv.TvView.TvInputCallback,"void onContentBlocked(String inputId, TvContentRating rating)", This is called when the current program content turns out to be not allowed to watch since its content rating is blocked by parental controls.
android.net.NetworkInfo,boolean isRoaming()," This method was deprecated in API level P. Callers should switch to checking NET_CAPABILITY_NOT_ROAMING instead, since that handles more complex situations, such as VPNs."
android.net.TrafficStats,static long getMobileRxBytes(), Return number of bytes received across mobile networks since device boot.
android.net.TrafficStats,static long getMobileRxPackets(), Return number of packets received across mobile networks since device boot.
android.net.TrafficStats,static long getMobileTxBytes(), Return number of bytes transmitted across mobile networks since device boot.
android.net.TrafficStats,static long getMobileTxPackets(), Return number of packets transmitted across mobile networks since device boot.
android.net.TrafficStats,static long getTotalRxBytes(), Return number of bytes received since device boot.
android.net.TrafficStats,static long getTotalRxPackets(), Return number of packets received since device boot.
android.net.TrafficStats,static long getTotalTxBytes(), Return number of bytes transmitted since device boot.
android.net.TrafficStats,static long getTotalTxPackets(), Return number of packets transmitted since device boot.
android.net.TrafficStats,static long getUidRxBytes(int uid), Return number of bytes received by the given UID since device boot.
android.net.TrafficStats,static long getUidRxPackets(int uid), Return number of packets received by the given UID since device boot.
android.net.TrafficStats,static long getUidTxBytes(int uid), Return number of bytes transmitted by the given UID since device boot.
android.net.TrafficStats,static long getUidTxPackets(int uid), Return number of packets transmitted by the given UID since device boot.
android.view.TextureView,"void setLayerType(int layerType, Paint paint)", The layer type of a TextureView is ignored since a TextureView is always considered to act as a hardware layer.
android.view.View,boolean isDirty(), True if this view has changed since the last time being drawn.
android.view.View,boolean isLaidOut(), Returns true if this view has been through at least one layout since it was last attached to or detached from a window.
